sentence	sentence_id	locale	reason
هل تعرف إذا تتحدث الإنغليزية ؟	32058848622cca4f962a1fcbc446dabae66622f1ad25eb778e56450ec28ce9ea	ar	grammar-or-spelling
.أبقِ غرفتك نظيفةً بقدر الإمكان	30afcb1b82694f19cf2dbe4b0e9a20bd4f685e12a5b3c33a02ecfdeef5da61d7	ar	grammar-or-spelling
اقبل نعمة الأب ، ومعه ، هذا	1f034c131bbf2b2d7ecd4acad78e826e2a3d20fabaf9bbf52f13f7249609daa1	ar	grammar-or-spelling
لقد تركت أنوارك مفتوحة.	3e8908b5457c5ae7835038f305680435398d1a1fc7c3bf7f67be17ba3278913d	ar	grammar-or-spelling
ولد جدي عام ألف و تسعمئة و عشرين للميلاد.	3e400d542836919dac910636a756dc4ef51fa7c901688b12d2f82c04c8669f69	ar	grammar-or-spelling
.وجدنا الباب الأمامي مغلق	408dc73fefa692084537bdbe725345fbcb0958793ed4b423af12e60153385211	ar	grammar-or-spelling
.حدث تلو الآخر	3113f8d3860950663bbba2f805256bfd54bc2acc001ee681ddbb99ed79a43c5b	ar	grammar-or-spelling
ما أن سمعت الجرس حتى ردت على الهاتف.	395aa51b1dbbc0bf7c66203fb5371dddf032cc31e170ba83f270eaf1d78030d8	ar	grammar-or-spelling
كل هؤلاء ضد ، يقول ناي	30281d9a465f00fafaf1809a52f31c9340a460dbe096de47ce7004c01565a8ff	ar	grammar-or-spelling
أوقية من الحماية يستحق رطل من العلاج	3ca7f99556457fc88234d60d5181663beec190db244f0d249a365be2f0eb4203	ar	grammar-or-spelling
أوقية من الحماية يستحق رطل من العلاج	3ca7f99556457fc88234d60d5181663beec190db244f0d249a365be2f0eb4203	ar	grammar-or-spelling
قلة النوم مضر بصحتك.	236f4b9d4025e55332022ad76991aefc44d3a9a96d7c34d70a57e502d901a705	ar	grammar-or-spelling
مالذي يحزنك ؟	3b6b930840634e388f7ae237482802eebe2bbb511841e790930b3c7a1cc5388b	ar	grammar-or-spelling
لا يمكنني العيش من غيرك.	2a451b9b65502819185f528a26c0f0afecb782782d8b7602a935d27ac4287e53	ar	grammar-or-spelling
غلاف الشوكولاتة يبقي الحلويات طازجة	2dfa9540b590fb3313edfa81b54ae0fa81d32a91b095c90f9e7ada34ace863b1	ar	grammar-or-spelling
.كوكب المريخ يشبه كوكبنا في نواحي عدّة	46c6f0df49a607a91ab772af9fe27a894032da35d9d96c750492c2d7bfbb895d	ar	grammar-or-spelling
لا تبعد المحطة كثيراً عن هنا.	27229f086519b2a60f61baca742cd819513986a0c17b3ab235ff5e59442a5b34	ar	grammar-or-spelling
كلا الطالبين لم ينجحا الإختبار.	42737062e3666733c73642355a316a1860c2cef45a93cf9d92ec0887bf4be48c	ar	grammar-or-spelling
اقبل نعمة الأب ، ومعه ، هذا	1f034c131bbf2b2d7ecd4acad78e826e2a3d20fabaf9bbf52f13f7249609daa1	ar	grammar-or-spelling
وحتى الآن إذا لم تكن لديه أي كلمات ليقول	25b791fe5db3f40712ee56eac7caa681a7f73b3b20d6698ea844cd31734a347d	ar	grammar-or-spelling
طاب مساؤك. أحلام سعيدة.	7b150669d62ba7996b9f7f0fc2f1d453f23000f8dc40ec12f62a9fbecebfcb36	ar	grammar-or-spelling
وحتى الآن إذا لم تكن لديه أي كلمات ليقول	25b791fe5db3f40712ee56eac7caa681a7f73b3b20d6698ea844cd31734a347d	ar	grammar-or-spelling
أعمى مع الغضب ، واندفع في	300975a8796c8263351e08f13890b03ce7eba3f67196710e37f3fe3147a13ae4	ar	grammar-or-spelling
نحن جوعانين.	29e567d2af0c0405b945e639b13dbb0c70fa7835d11b6f3358343ecc64acb275	ar	grammar-or-spelling
.وجدنا الباب الأمامي مغلق	408dc73fefa692084537bdbe725345fbcb0958793ed4b423af12e60153385211	ar	grammar-or-spelling
هل تمتلك كمبيوتر ؟	34937457af2f559f5dd121078af16eaf124238d61e809830fded6ddc68eb2aaa	ar	grammar-or-spelling
تأبي الرماح إذا اجتمعن تكسراً وإذا افترقن تكسرت أفرادا	46ecc79c3b6e2b26f3841db2e1f6fa95a0b98d07c96f868a09fe978364189861	ar	grammar-or-spelling
.أنا أتحدث عن هذا القلم ، وليس عن ذاك الموجود هناك على المكتب	3203c24d8a878437fe77551556b5922c145b6b8a8252d5a209924817cfb190b0	ar	grammar-or-spelling
الزجاجة ملئى بالماء.	4b8052ef13478d5627f131c58f17fed25f99d22ed80637a35b0e9c2e8df7bd97	ar	grammar-or-spelling
.لا يوجد آثار حياة فوق سطح كوكب المريخ	284a7cca7f9c869edaeb24e433e51ecdc1298b51b7938dc31a2aab14818185f6	ar	grammar-or-spelling
.وجدنا الباب الأمامي مغلق	408dc73fefa692084537bdbe725345fbcb0958793ed4b423af12e60153385211	ar	grammar-or-spelling
.كان هناك قلعة على هذا التل	4ed65360c3f1cf25f6d466d10748cd96c1168197ec94503e21ae6ab6063d99af	ar	grammar-or-spelling
مالذي يحزنك ؟	3b6b930840634e388f7ae237482802eebe2bbb511841e790930b3c7a1cc5388b	ar	grammar-or-spelling
كلا الطالبين لم ينجحا الإختبار.	42737062e3666733c73642355a316a1860c2cef45a93cf9d92ec0887bf4be48c	ar	grammar-or-spelling
إقتربت القطة ببطأ من الفأر.	3d102deee7c64e92e27d14eb097278e1bb04d79f834068bf22b1f2e714fb13fc	ar	grammar-or-spelling
.كان هناك قلعة على هذا التل	4ed65360c3f1cf25f6d466d10748cd96c1168197ec94503e21ae6ab6063d99af	ar	grammar-or-spelling
كان على وشك أن تخرج.	46e46b7fc65bd9a7a9cc2e1b734e94a09574673f305205262e8e8a9ed388f3da	ar	grammar-or-spelling
الإنجليز أكثرهم محافظين.	3b8152709d3e65a5f955ae3a0994b54cf9bedd914e322d0188449546695bcded	ar	grammar-or-spelling
اقبل نعمة الأب ، ومعه ، هذا	1f034c131bbf2b2d7ecd4acad78e826e2a3d20fabaf9bbf52f13f7249609daa1	ar	??
قلة النوم مضر بصحتك.	236f4b9d4025e55332022ad76991aefc44d3a9a96d7c34d70a57e502d901a705	ar	grammar-or-spelling
طاب مساؤك. أحلام سعيدة.	7b150669d62ba7996b9f7f0fc2f1d453f23000f8dc40ec12f62a9fbecebfcb36	ar	grammar-or-spelling
أعمى مع الغضب ، واندفع في	300975a8796c8263351e08f13890b03ce7eba3f67196710e37f3fe3147a13ae4	ar	grammar-or-spelling
متى سيصلوا ؟	20dcfdd55d7f1090343b02d7dcc421b91417168ce6c0c73b870045be24ecfcd2	ar	grammar-or-spelling
.لا يحب أحداً الحرب	4f4f8c40f56b29fab38e1d0fa5847609404ebe36391804f61b4e2d58faee2b5f	ar	grammar-or-spelling
صدم الكلب شاحنة.	39e22bfbc9c9f11682d7f3d126e9b5ce12d5ad4874c234c98e5a173e8ccc45b9	ar	grammar-or-spelling
.وجدنا الباب الأمامي مغلق	408dc73fefa692084537bdbe725345fbcb0958793ed4b423af12e60153385211	ar	grammar-or-spelling
إقتربت القطة ببطأ من الفأر.	3d102deee7c64e92e27d14eb097278e1bb04d79f834068bf22b1f2e714fb13fc	ar	grammar-or-spelling
.لا يحب أحداً الحرب	4f4f8c40f56b29fab38e1d0fa5847609404ebe36391804f61b4e2d58faee2b5f	ar	grammar-or-spelling
.كوكب المريخ يشبه كوكبنا في نواحي عدّة	46c6f0df49a607a91ab772af9fe27a894032da35d9d96c750492c2d7bfbb895d	ar	grammar-or-spelling
إقتربت القطة ببطأ من الفأر.	3d102deee7c64e92e27d14eb097278e1bb04d79f834068bf22b1f2e714fb13fc	ar	grammar-or-spelling
حَيْنَ أكبر ، أُريد أن أصبِحَ ملِكًا.	207b9eb97770a9e64545d24ead41b89124d12ae422ae77c88bf5ccecf0659b35	ar	grammar-or-spelling
يبلغ عدد سكان اليابان حوالي مئة و عشرون مليون نسمة.	24c90349af7fd744336141fecc9744e6f7801df9265966ce6fbe1b8801b2ab03	ar	grammar-or-spelling
.كان هناك حوالي عشرون شخصاً	53a36ff2bf054263bb1ff12607d69c8de8c804007f7586a21bc6b1c533406aa9	ar	grammar-or-spelling
شيدت البنيان لأعز وأُذكر فلم أر أعز شرفاً من اصطناع المعروف.	183125abc17f578a28872c0011e6c5dd37f7b2a7c2c75f83958456e4ebf42ba7	ar	grammar-or-spelling
بقيت في المنزل اليلة الفائتة.	54fcc0f1aa3b8f4737ae6eb9276871020f4e46d56e0f2faf6b0c18f5b16351ca	ar	grammar-or-spelling
ساعدتني في حزم حقيبتي.	505c330954ad8079b67c3cf8f06857b8d0f6bb5b0d2ffcf030d50841c098fac2	ar	difficult-pronounce
أتعرف السيد براون ؟	33d19b63323181a5228c3fa17ccda1cc43580623a9ba980d8664e43b8c782ced	ar	offensive-language
لا أستطيع أن أقول العكس.	cfe916ab1682897eba3e2f27f640339439d3826370e215cfb87c2509969cdc4e	ar	difficult-pronounce
.سيستغرق المشروع سنة على الأقل	4db1bdce14e71fa6ab4dc33fbfe3f0ea90689f0326e2ed65b9faba603cc87cfa	ar	different-language
.سأقوم بغسل الصحون بما أنك طبختَ	3dff06eb5425ebdd3b86d1122f5280fb212fd78e6b599ac475d4421c2e218282	ar	offensive-language
.سأقوم بغسل الصحون بما أنك طبختَ	3dff06eb5425ebdd3b86d1122f5280fb212fd78e6b599ac475d4421c2e218282	ar	grammar-or-spelling
.سأقوم بغسل الصحون بما أنك طبختَ	3dff06eb5425ebdd3b86d1122f5280fb212fd78e6b599ac475d4421c2e218282	ar	difficult-pronounce
.سأقوم بغسل الصحون بما أنك طبختَ	3dff06eb5425ebdd3b86d1122f5280fb212fd78e6b599ac475d4421c2e218282	ar	different-language
لا يجب عليك العمل بجد.	53b64eeb142d9a2e017f6f5cb6a9bedf98dbb20b0535d3e528eb64d66341da25	ar	offensive-language
لا يجب عليك العمل بجد.	53b64eeb142d9a2e017f6f5cb6a9bedf98dbb20b0535d3e528eb64d66341da25	ar	grammar-or-spelling
لا يجب عليك العمل بجد.	53b64eeb142d9a2e017f6f5cb6a9bedf98dbb20b0535d3e528eb64d66341da25	ar	different-language
لا يجب عليك العمل بجد.	53b64eeb142d9a2e017f6f5cb6a9bedf98dbb20b0535d3e528eb64d66341da25	ar	difficult-pronounce
لقد ارتكبت الكثير من الأخطاء.	1e4a38ca951f27db2a9598db8a9f22989ec148bf8bf4f5ea0dfcc7ffc9cd7e96	ar	different-language
لقد ارتكبت الكثير من الأخطاء.	1e4a38ca951f27db2a9598db8a9f22989ec148bf8bf4f5ea0dfcc7ffc9cd7e96	ar	grammar-or-spelling
لقد ارتكبت الكثير من الأخطاء.	1e4a38ca951f27db2a9598db8a9f22989ec148bf8bf4f5ea0dfcc7ffc9cd7e96	ar	offensive-language
كان على وشك أن تخرج.	46e46b7fc65bd9a7a9cc2e1b734e94a09574673f305205262e8e8a9ed388f3da	ar	different-language
.لا يوجد آثار حياة فوق سطح كوكب المريخ	284a7cca7f9c869edaeb24e433e51ecdc1298b51b7938dc31a2aab14818185f6	ar	difficult-pronounce
يجب أن تحترم قوانين المدرسة.	effb450854833d7b377b7acc2c02353def73365bdb4587293b32310ca815a689	ar	grammar-or-spelling
يجب أن تحترم قوانين المدرسة.	effb450854833d7b377b7acc2c02353def73365bdb4587293b32310ca815a689	ar	offensive-language
يجب أن تحترم قوانين المدرسة.	effb450854833d7b377b7acc2c02353def73365bdb4587293b32310ca815a689	ar	different-language
يجب أن تحترم قوانين المدرسة.	effb450854833d7b377b7acc2c02353def73365bdb4587293b32310ca815a689	ar	difficult-pronounce
إنها معتادة على السهر.	4ba64c3cc4ca4f844e29f62d7f38433d377e88858ebbbb072c1a5a71f5682ed3	ar	offensive-language
لم تسنح لي الفرصة لمشاهدة الفيلم.	4ca9ad7d6d407f0e448766c96992bf7e3d331f6f4f851281de6e3300aeffa912	ar	offensive-language
هذا مستحيل.	ad7411103a55c37038b996dec62b592359d18c2d383ba806e74b63df7db2ab65	ar	different-language
هذا مستحيل.	ad7411103a55c37038b996dec62b592359d18c2d383ba806e74b63df7db2ab65	ar	grammar-or-spelling
لا يمكنك أن تسبح ، أليس كذلك ؟	6639c111a4aba463556d84c81f016bf306ad7488c3b1d2d40729116526f45bfe	ar	offensive-language
لا يمكنك أن تسبح ، أليس كذلك ؟	6639c111a4aba463556d84c81f016bf306ad7488c3b1d2d40729116526f45bfe	ar	grammar-or-spelling
لا يمكنك أن تسبح ، أليس كذلك ؟	6639c111a4aba463556d84c81f016bf306ad7488c3b1d2d40729116526f45bfe	ar	different-language
لا يمكنك أن تسبح ، أليس كذلك ؟	6639c111a4aba463556d84c81f016bf306ad7488c3b1d2d40729116526f45bfe	ar	difficult-pronounce
إن ذلك مستحيل.	c7ed83ffcd4b181c1d99eab011bb82da0e05bbe9a5ef21bfc1b658af79fcc0d3	ar	offensive-language
إن ذلك مستحيل.	c7ed83ffcd4b181c1d99eab011bb82da0e05bbe9a5ef21bfc1b658af79fcc0d3	ar	grammar-or-spelling
إن ذلك مستحيل.	c7ed83ffcd4b181c1d99eab011bb82da0e05bbe9a5ef21bfc1b658af79fcc0d3	ar	different-language
إن ذلك مستحيل.	c7ed83ffcd4b181c1d99eab011bb82da0e05bbe9a5ef21bfc1b658af79fcc0d3	ar	difficult-pronounce
مرة أخرى صفق الفتيات ، وبكت السيدة هول	72c3ea79d07f38c5b9ee7f535d610641e8798a244408f0233749014bf6a65fe6	ar	grammar-or-spelling
لن تسطيع أمي القدوم.	6f62e4b36a3b596221f94ae10b2b680bad9c658027e8306559b3f10f9aae8e87	ar	grammar-or-spelling
خمس عشرة دقيقة فقط.	42818ed880a7f4331c28f7c9de3d1bcafbcacb6b92016aca67f63e60dd5039f4	ar	grammar-or-spelling
ضيعني صغيراً وحملني دمه كبيراً	80cef88f6699b4cc72935bed884dc250c82d9888fad5630414424f332bef1620	ar	difficult-pronounce
ذهبت إلى الحديقة الحيوان.	8ce95ebf1d33a0cdedfb2af35f65902d2e70f81fb288d159ce7c324551417715	ar	grammar-or-spelling
كل هؤلاء المؤيدين ، يقولون آيه	ba2e9d7afbe46e15a7ffe01908e89cf825f9cc0775bc589dfad921941b8cb5a2	ar	grammar-or-spelling
كل هؤلاء المؤيدين ، يقولون آيه	ba2e9d7afbe46e15a7ffe01908e89cf825f9cc0775bc589dfad921941b8cb5a2	ar	grammar-or-spelling
.لي صديق أباه ممثل مشهور	d5f99260bc0b0cb69b8ae8e36768706470834fef7261889e60809a4a2dd05aad	ar	grammar-or-spelling
كان نصف حالة من التبغ بقيمة ثلاثة أرطال	c4dfe05af7e2cc9d00d0339ec467c1e56c1ad4baab736a6b7c163e201ff6bb8e	ar	grammar-or-spelling
كان نصف حالة من التبغ بقيمة ثلاثة أرطال	c4dfe05af7e2cc9d00d0339ec467c1e56c1ad4baab736a6b7c163e201ff6bb8e	ar	????? ?????? ???? ???? ?????
كل من هُوَ وحيد ، وحيد لأنه خائف من الآخرين.	c68ad1dc65c77598486911cf819f9917aa8436f22424fbefff606dc4f1fc4cc6	ar	?? ???? ??????? .. ?????? ??????? ???? ??????? ????? ???? ?? ????
.لي صديق أباه ممثل مشهور	d5f99260bc0b0cb69b8ae8e36768706470834fef7261889e60809a4a2dd05aad	ar	grammar-or-spelling
إذا أردت الحصول على دراجة جديدة ، من الفضل لك أن تبدأ بتوفير النقود.	bc16461afe75cf2fed6f4b875c73ee695a116526128aaf7e6b45ff939ede0a5f	ar	grammar-or-spelling
إذا أردت الحصول على دراجة جديدة ، من الفضل لك أن تبدأ بتوفير النقود.	bc16461afe75cf2fed6f4b875c73ee695a116526128aaf7e6b45ff939ede0a5f	ar	grammar-or-spelling
أبدأ لن أشك في صدقه.	649a6e34df1edf8981d7ffcba0fdd6a234d6b1f633c56fc26ca4c9d25b6b3fc9	ar	grammar-or-spelling
.انتحرت عن عمر ينازه الثلاثين عاماً	e255c4f85f09d41c633b44cc638181b3610b3d4c39721475b44f82102a591f9b	ar	grammar-or-spelling
.اِكتب عنوانك من فضلك	e0e48ee4d7506045c3e8a7b32f5346d7752233a9ff55aed39d8d9457271b00f9	ar	grammar-or-spelling
إذا أردت الحصول على دراجة جديدة ، من الفضل لك أن تبدأ بتوفير النقود.	bc16461afe75cf2fed6f4b875c73ee695a116526128aaf7e6b45ff939ede0a5f	ar	grammar-or-spelling
إذا أردت الحصول على دراجة جديدة ، من الفضل لك أن تبدأ بتوفير النقود.	bc16461afe75cf2fed6f4b875c73ee695a116526128aaf7e6b45ff939ede0a5f	ar	grammar-or-spelling
لا بد أن الولد كسر النافذة.	2f5d47c1d25b18272cbca1d28e8f9177c4d4b60ee88016e3d4308377a6fa19fd	ar	difficult-pronounce
أنا ملحد.	1496f2530c8f8d14115def220a7675d78549555cab769c920b5cb84656f75684	ar	grammar-or-spelling
الإنجليز أكثرهم محافظين.	3b8152709d3e65a5f955ae3a0994b54cf9bedd914e322d0188449546695bcded	ar	grammar-or-spelling
الإنجليز أكثرهم محافظين.	3b8152709d3e65a5f955ae3a0994b54cf9bedd914e322d0188449546695bcded	ar	grammar-or-spelling
! أنظر إلى الولد و هو يقفز	3d781392c45ba0761e8dec242eb044a509007d1a1889da77df80930fc4a61315	ar	grammar-or-spelling
.إسمع جيداً	2c90d56e675aa0837caeef63f99b102f81cc6f96e0363ba6a285bd9e25a317b2	ar	grammar-or-spelling
! تريد كأساً آخر من الشاي ؟ أعددت لك كأساً منذ لحظات قليلة	1e4c681f48d683a3ba5d463dd107de0efa7eb43d3441ac25a51020c00b097225	ar	grammar-or-spelling
إلى جانب ذلك ، تم دفعه واحدة من التبغ لكل فرد	4b2dba05023d0b305b357dd03b7773fd93449d1874243591b7afb1b438138cae	ar	grammar-or-spelling
من فضلك إخلع قبعتك.	2ac2443d41b531aec95af1040b74eaaeef319117d01bb0f0c816651ecb9c06c6	ar	grammar-or-spelling
أعرف اسمك.	465534296a2e603e448cd4a49b7b4b814ad63697c7fb9cdea1026b8e5614f6f2	ar	different-language
تسببت العاصفة بخسائر فادحة.	42ab1c87c260268550cc0534b19b3ff709efc410dbbdbd14f1ad0f2381488a77	ar	grammar-or-spelling
تسببت العاصفة بخسائر فادحة.	42ab1c87c260268550cc0534b19b3ff709efc410dbbdbd14f1ad0f2381488a77	ar	nnsndndndndndndb
.يُقال أنها وُلدت في ألمانيا	445ed5664a267e2ea44d094073ac0f8f25f012aa9b11db18452a2dd8c8b3c23a	ar	grammar-or-spelling
.أخفض الصوت من فضلك	5e12181ff1aee18c047bfd797e950e5168ce1e2bab48ccd7dcf1989420d9cb85	ar	grammar-or-spelling
من فضلك إقلب الصفحة.	4cb6675f86f1f49d7e19a98f1c590fcc0445bfed0ff5a73a21b301ad80cdd56c	ar	grammar-or-spelling
أعتقد أنه من الأفضل لك أن تستريح. إنك تبدو مريضاً.	1b39b8ec0b37b50d0dcfc648b2709d6992f47319c2be9f9181795bbfa0e80dd6	ar	?????
أحب أن أرقص.	5888feae2e6bd35dbb7f0e0ecedebd815a7b36c8a5837862f30ed7ab55931622	ar	??? ????
كم من الوقت استغرقك لتترجم هذا الكتاب ؟	56408b75d9a2f30aac4c27a228bf5f610ebb52d4a6447912bd29b8879ac2cf1e	ar	grammar-or-spelling
من فضلك إقلب الصفحة.	4cb6675f86f1f49d7e19a98f1c590fcc0445bfed0ff5a73a21b301ad80cdd56c	ar	grammar-or-spelling
أذهب إلى المدرسة بالباص.	5af0bb2ab744c4bb596332efb47fd52b48930193cd3dd813e84b6594bd6ef768	ar	grammar-or-spelling
أبدأ لن أشك في صدقه.	649a6e34df1edf8981d7ffcba0fdd6a234d6b1f633c56fc26ca4c9d25b6b3fc9	ar	grammar-or-spelling
.هذه كتبنا	6f4cdee78de4e31419d51745ddc66ea2e41049afd8d872d18ccb0f9322202494	ar	grammar-or-spelling
.هتف الجمهور عندما سجل هدفاً	66ea03dd431993214515409213ae73311a914777e268a70c7435795f204f1614	ar	grammar-or-spelling
موريل تشتمني!	69f761615483b33b387fb927daed5e0f0676e1cdb8190bff5b27ef38906b8c37	ar	grammar-or-spelling
لمن هذه السيارة ؟	6bd460439b5a60049af409cd755783da2166acd031b20a7336ee44e09b92e826	ar	grammar-or-spelling
تد يحب زوجته إلزبيث.	1fdb099a041ca45c2709521c99ad46ea18d2a840b4cceb83aac9377fff7357c2	ar	grammar-or-spelling
لربما قابلته في مكان ما من قبل و لكني لا أذكر أين.	85739be9e28fc176989ee665d07571c054a931603e9d450484a242feacf86278	ar	grammar-or-spelling
سنذهب إلى حفلة رقص غداً.	75fb83d01171695db8ac3a77bf1f9df83177b0484b288ce97e5fe9bae1a388fb	ar	grammar-or-spelling
كم ساعة نوم تحتاج ؟	5843dc6fb5d3b9cca528ca8781658a9ffa860ea9a65a0e8591212daebc834901	ar	offensive-language
كم ساعة نوم تحتاج ؟	5843dc6fb5d3b9cca528ca8781658a9ffa860ea9a65a0e8591212daebc834901	ar	grammar-or-spelling
كم ساعة نوم تحتاج ؟	5843dc6fb5d3b9cca528ca8781658a9ffa860ea9a65a0e8591212daebc834901	ar	different-language
كم ساعة نوم تحتاج ؟	5843dc6fb5d3b9cca528ca8781658a9ffa860ea9a65a0e8591212daebc834901	ar	difficult-pronounce
.تلعب التنس كل يوم	9c3d565b1efc2840163d773916339f9ccd5cafb01d27e0737f51566a65a31cae	ar	grammar-or-spelling
.تلعب التنس كل يوم	9c3d565b1efc2840163d773916339f9ccd5cafb01d27e0737f51566a65a31cae	ar	different-language
.تلعب التنس كل يوم	9c3d565b1efc2840163d773916339f9ccd5cafb01d27e0737f51566a65a31cae	ar	difficult-pronounce
أصبح مشروع تتويبا ظاهرة إجتماعية و ثقافية مهمة في بلده الأم فرنسا.	92feeb6dcfaaaace2dbf0fccfbd84728fa58c80315f87328063b5bf4d67605d1	ar	difficult-pronounce
لم أعد أريدها.	0ce082326eee37592e578a9ebe8a11482bf5dc1d27f65c5df94a442b73babe7f	ar	grammar-or-spelling
ليس هناك حب بلا غيرة.	55ee2614d914f1027c88a33301e99d6ef8244e383420677f83634d247cf04d68	ar	offensive-language
.ينقص شوكة	00e33971ce709ac91c39f83fcf880bb4d3c5d5b35b16b870ca36f0a9bdcc7c91	ar	?? ?????? ?????? ?? ???? ????? 
عصاها دالك الولد.	0108c84b5d7b3968b10edd6d095dcefc0197f98251dde89a58d349fe117af0ce	ar	grammar-or-spelling
إنها مسالة حياة أو موت.	0400cd1bd38ba1b0c0a33bfc767321467b9a1433369efdfe3659635c365bd5f3	ar	grammar-or-spelling
أنتَ لستُ جاهزاً بعد.	002aa4155ed85fdc8fab468a56cd9175cf8ffca8e6617f72c1b384a1adf61757	ar	grammar-or-spelling
أتود تناول الغذاء معي ؟	0996226513f03b37c12724ef3831de8c2cad853e406467cbd334c44184b62b1c	ar	grammar-or-spelling
يبدوا لي أنه يعلم السر	0bccf42b543dd50b5b9927ffc0e9519053491bec6d815fdd63d6d43b1d26d95d	ar	grammar-or-spelling
أن حر في الحديث مع أي كان.	0df28dbad8236d14da1a7ba8ea8c622692f36b9b3e1af76e6fe52bfc8b8046a6	ar	grammar-or-spelling
توم أتى هنا الإسبوع الماضي.	0abb32613af7e396a16e8135e9352e5fa24eb17c6c94519bbbb19e2323c2d79c	ar	grammar-or-spelling
أتود تناول الغذاء معي ؟	0996226513f03b37c12724ef3831de8c2cad853e406467cbd334c44184b62b1c	ar	grammar-or-spelling
ماذا تفعلی؟	0a4efe8e85bfa3fff4fc1cc2c5f8b2192c90eb7cde93f01f1cfbffbfb1773dfe	ar	grammar-or-spelling
وله ما في السماوات والأرض وله الدين واصبا أفغير الله تتقون	178e1787e33edbfe74ed585fb13459f218362f6291f7eec2c9131ee157afdd62	ar	difficult-pronounce
